linijka;nazwa;cena_jedn;kategoria_podatku;ilość;całkowita_cena;quantity;jednostka
KamisPieprzCzarnyMie i 1SZT x2,19 2,19B;Kamis Pieprz Czarny Mie;2,19;B;1;2,19;;SZT
KamisZieleAngielskie i 1SZT x2,19 2,19B;Kamis Ziele Angielskie;2,19;B;1;2,19;;SZT
KamisKminek20g i 1SZT x2,19 2,19B;Kamis Kminek 20g;2,19;B;1;2,19;;G
KamisSłCzosGran55g t 1SZT x6,99 6,99C;Kamis Sł Czos Gran 55g;6,99;C;1;6,99;;G
PrincessaLonga0Orzech t 9SZT x2,29 20,61C;Princessa Longa Orzech;2,29;C;9;20,61;;SZT
KitKatChunkyBaton42g t 4SZT x3,49 13,96C;KitKat Chunky Baton 42g;3,49;C;4;13,96;;G
K1tKatChunkyBaton40g t 4SZT x3,49 13,96C;KitKat Chunky Baton 40g;3,49;C;4;13,96;;G
TicTac miętowy 54g H 1SZT x6,99 6,99A;TicTac miętowy 54g;6,99;A;1;6,99;;G
Buł#kiHambŚezam300g t 4SZT x5,49 21,96C;Bułki Hamb Śezam 300g;5,49;C;4;21,96;;G
K.ChlebTost.Psz5O0g t 2SZT x2,49 4,98C;Chleb Tost. Psz 5O0g;2,49;C;2;4,98;;G
KrakusBoczekRol100g* t 1SZT x6,49 6,49C;Krakus Boczek Rol 100g;6,49;C;1;6,49;;G
KrakusBoczekRol100g* t 1SZT x6,49 6,49C;Krakus Boczek Rol 100g;6,49;C;1;6,49;;G
STDmielonkaTyrol270g t 1SZT x5,89 5,89C;STD mielonka Tyrol 270g;5,89;C;1;5,89;;G
ParówkiZSzynk1200g* t 1SZT x4,49 4,49C;Parówki Z Szynk 1200g;4,49;C;1;4,49;;G
STDfiletZind100g* t 1SZT x5,99 5,99C;STD filet Zind 100g;5,99;C;1;5,99;;G
STDfiletzind100g* t 1SZT x5,99 5,99C;STD filetzind 100g;5,99;C;1;5,99;;G
STDfiletZind100g* t 1SZT x5,99 5,99C;STDf ilet Zind 100g;5,99;C;1;5,99;;G
R_SÓL KUCHENNA 1 K0 4 x 1,79 7,16A;SÓL KUCHENNA 1 KG;1,79;A;4;7,16;;KG
C_BUŁKA TARTA 500G 6 x 4,19 25,14C;BUŁKA TARTA 500G;4,19;C;6;25,14;;G
A_AROMATY 9 ML 1 x 1,29 1,29A;AROMATY 9 ML;1,29;A;1;1,29;;ML
A_WODA NIEGAZO.6-PAK 2 x 5,94 11,88A;WODA NIEGAZO. 6-PAK;5,94;A;2;11,88;;
A_WODA GAZOWAN.6-PAK 1 x 5,94 5,94A;WODA GAZOWAN. 6-PAK;5,94;A;1;5,94;;
C_WIÓRKI KOKOS. 200G 1 x 5,99 5,99C;WIÓRKI KOKOS. 200G;5,99;C;1;5,99;;G
B_CUKIE. WANILIN.48G 1 x 1,69 1,69B;CUKIE. WANILIN. 48G;1,69;B;1;1,69;;G
C_BUDYN 40G 3 x 1,19 3,57C;BUDYN 40G;1,19;C;3;3,57;;G
C_SuR6WKA/C.KA.300 G 1 x 1,99 1,99C;SuRWKA C. KA. 300 G;1,99;C;1;1,99;;G
A_JAN N.F. 10 M 1 x 5,99 5,99A;JAN N. F. 10 M;5,99;A;1;5,99;;
C_HERBATN. TEA 4O0G 1 x 4,95 4,95C;HERBATN. TEA 4O0G;4,95;C;1;4,95;;G
C_PIZZA 1 K0 2 x 11,49 22,98C;PIZZA 1 KG;11,49;C;2;22,98;;KG
C_JAJA 20M 2 x 10,91 21,82C;JAJA 20M;10,91;C;2;21,82;;
C_KUKURYDZA HB 285 G 1 x 9,19 9,19C;KUKURYDZA HB 285 G;9,19;C;1;9,19;;G
A_ŚWIATEŁKO 96H 1SZT 3 x 9,95 14,85A;ŚWIATEŁKO 96H 1SZT;9,95;A;3;14,85;;SZT
C_ZUREK ŚLĄSKI 46 0 3 x 1,99 5,97C;ZUREK ŚLĄSKI 46 0;1,99;C;3;5,97;;
A_L8M FIR.RED 1 x 20,50 20,50A;LM FIR. RED;20,50;A;1;20,50;;
MiesoMielSzynWp400G*t 1SzT x13,59 13,59C;Mieso Miel Szyn Wp 400G;13,59;C;1;13,59;;G
K-SMPorcjaRosKurcz*t 0,659KG x6,99 4,61C;Porcja Ros Kurcz;6,99;C;0,659;4,61;;KG
K-SMSercaZKurcz400g* t 1SZT x4,88 4,88C;Serca Z Kurcz 400g;4,88;C;1;4,88;;G
k-SMSercazZkurcz400g* t 1SZT x4,88 4,88C;Sercaz Z kurcz 400g;4,88;C;1;4,88;;G
KSMSercaZKurcz40Og* t 1S2T x4,88 4,88C;Serca Z Kurcz 40Og;4,88;C;1;4,88;;G
K-SMSercaZKurcz400g* t 1SZT x4,88 4,88C;Serca Z Kurcz 400g;4,88;C;1;4,88;;G
K-SMSercaZKurcz400g* t 1SZT x4,88 4,88C;Serca Z Kurcz 400g;4,88;C;1;4,88;;G
MlekoŁaciate3,2%1l t 12SZT x4,19 50,28C;Mleko Łaciate 3,2% 1l;4,19;C;12;50,28;;L
MlekpolKefir1l t 1SZT x5,99 5,99C;Mlekpol Kefir 1l;5,99;C;1;5,99;;L
K.SerTopiony100g t 1SZT x2,19 2,19C;Ser Topiony 100g;2,19;C;1;2,19;;G
Kajzerka pszenna 55g t 2SZT x0,35 0,70C;Kajzerka pszenna 55g;0,35;C;2;0,70;;G
BułkiHambSezam300g t 2SZT x6,65 13,30C;Bułki Hamb Sezam 300g;6,65;C;2;13,30;;G
BułkiHotDog250g t 2SZT x5,19 J,38C;Bułki Hot Dog 250g;5,19;C;2;10,38;;G
Serdelkizciele300g* t 1SZT x10,99 10,99C;Serdelkizciele 300g;10,99;C;1;10,99;;G
Serdelkizciele300g* t 1SZT x10,99 10,99C;Serdelkizciele 300g;10,99;C;1;10,99;;G
Serdelkizciele300g* t 1SZT x10,99 10,99C;Serdelkizciele 300g;10,99;C;1;10,99;;G
STDSzynkKonsKurc100g* t 1SZT x3,99 3,99C;Szynk Kons Kurc 100g;3,99;C;1;3,99;;G
STDSzynkKonsKurc100g* t 1SZT x3,99 3,99C;Szynk Kons Kurc 100g;3,99;C;1;3,99;;G
STDkiełbasaParów500g* t 1SZT x8,95 8,95C;kiełbasa Parów 500g;8,95;C;1;8,95;;G
STDkiełbasa a. J3w50Cg t 1 x8, 8,95C;kiełbasa 500g;8,95;C;1;8,95;;G
STDkiełbasaParów500g* t 1SZ8,95 8,95C;kiełbasa Parów 500g;8,95;C;1;8,95;;G
STDkiełbasaParów500g* t 1S2T,95 8,95C;kiełbasa Parów 500g;8,95;C;1;8,95;;G
MielonkaTyrolska270g t 1S  5,89 5,89C;Mielonka Tyrolska 270g;5,89;C;1;5,89;;G
SuKiwnka A 1 szt*5O.00 50,0A;SuKiwnka;50,00;A;1;50,00;;SZT
lptaszcZe, skÓry nieoci A 1 sz1*19,99 19,99;lptaszcze, skóry nieoci;19,99;;1;19,99;;""
  opecjala A 1 6Zl*7,99 7,984;opecjala;7,99;4;1;7,98;;""
ptaGzczZe, %KÓry ciepl A 1 zt*24,99 24,99;ptagzczze, KÓry ciepl;24,99;;1;24,99;;""
riopLane A 1 9Zl*14,99 14,99A;riop Lane;14,99;A;1;14,99;;""
KZYCZAJNA. W C 0.985 -#38.10;KZYCZAJNA. W;38,10;C;0,985;;;
PASZTETOWA M C 0.125 -*35.,80 4,48C;PASZTETOWA M;35,80;C;0,125;4,48;;
CHLEB C 1 -*12.00 12,00C;CHLEB;12,00;C;1;12,00;;
CUKIERKI LUZ A 1 -*3,37 3,37A;CUKIERKI LUZ;3,37;A;1;3,37;;
BANAN C 1 -*4.18 4,18C;BANAN;4,18;C;1;4,18;;
MLEKO UHT 3.Z% 1 L 1 X 69 1A'ą0;MLEKO UHT 3.2% 1 L;1,69;;1;;;L
ąBRYKIE BBQ 2,5 KC 2 x 9,99 19,98A;BRYKIE BBQ 2,5 KG;9,99;A;2;19,98;;KG
RWODR'NEGA/O.6-PAMK 2 x 5,94 1,88A;RWODR NEGAO. 6-PAMK;5,94;A;2;11,88;;
AWODA RA/OWAN.6-PpK 1 x 7,14 7,1A;AWODA RAOWAN. 6-PpK;7,14;A;1;7,14;;
R8UB9o9F#'Osn2   3,19,19C;"";3,19;C;1;3,19;;
CSUR POREM 452o 0 1 * 3'19 3,;CSUR POREM 452o 0;3,19;;1;3,19;;
CSURZPKM,A2op6 3  3'n9 '18r;CSURZPKM,A2op6;3,19;r;3;;;
CCHLEBOST0WY 500G j,X,3,Y9ą ,8;CCHLEBOST0WY 500G;3,99;;1;;;G
CKAJZERKA 50 G 100-9\;CKAJZERKA 50 G;0,00;;100;;;G
CHLEB C 2 -*11.50 23,00C;CHLEB;11,50;C;2;23,00;;
CHLEB C 1 -*12.00 12,00C;CHLEB;12,00;C;1;12,00;;
KOŁACZYK,PACZEK C 1 -*3,90 3,9OC;KOŁACZYK, PACZEK;3,90;C;1;3,90;;
KOŁACZYK,P4CZEK C 1 -*4.00 4,O0C;KOŁACZYK, PACZEK;4,00;C;1;4,00;;
CEBULA C 1 -#2.01 2,01C;CEBULA;2,01;C;1;2,01;;
CEBULA C1 -*1.59 1,59C;CEBULA;1,59;C;1;1,59;;
SAŁATA 7TELONA C 1 -5.00 5,00C;SAŁATA 7TELONA;5,00;C;1;5,00;;
YanoHamburger2OOg t 2SZT x2,63 5,26C;YanoHamburger2OOg;2,63;C;2;5,26;;G
1,974KG x24,99 49,33C;"";24,99;C;1,974;49,33;;KG
K-SMWątrobaZKur400g* t 1SZT x4,88  3C;Wątroba Z Kur 400g;4,88;C;1;4,88;;G
K-SMWątrobaZKur400g* t 1SZT x4,8 ,88C;K-Wątroba Z Kur 400g;4,88;C;1;4,88;;G
K-SMPorcjaRosKurcz*t 0,595KG x6,99 4,16C;Porcja Ros Kurcz;6,99;C;0,595;4,16;;KG
K-SMSercaZKurcz400g* t 1SZT x4,88 4,88C;Serca Z Kurcz 400g;4,88;C;1;4,88;;G
K-SMSercaZKurcz400g* t 1SZT x4,88 4,88C;Serca Z Kurcz 400g;4,88;C;1;4,88;;G
K-SMSercaZKurcz400g* t 1SZT x4,88 4,88C;Serca Z Kurcz 400g;4,88;C;1;4,88;;G
K-SMSercaZKurcz400g* t 1SZT x4,88 4,88C;Serca Z Kurcz 400g;4,88;C;1;4,88;;G
K-SMŻo1ądkiZKur400g* t 1S7T x4,88 4,88C;Żołądki Z Kur 400g;4,88;C;1;4,88;;G
STD.PierogiTrusk1kg t 1SZT x8,99 8,99C;Pierogi Trusk 1kg;8,99;C;1;8,99;;KG
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
SierpcSerekCapri220g* t 1SZT x5,99 5,99C;Sierpc Serek Capri 220g;5,99;C;1;5,99;;G
Jogurtw. niliowy350g t 3SZT x2,99 8,97C;Jogurtw. niliowy 350g;2,99;C;3;8,97;;G
SBASerekwiejski200g* t 1SZT x3,89 3,89C;Serekwiejski 200g;3,89;C;1;3,89;;G
JogurtTrusk350g t 3SZT x2,99 8,97C;Jogurt Trusk 350g;2,99;C;3;8,97;;G
SBASerekWiejski200g* t 1SZT x3,89 3,89C;Serek Wiejski 200g;3,89;C;1;3,89;;G
SBASerekWiejski200g* t 1SZT x3,89 3,89C;Serek Wiejski 200g;3,89;C;1;3,89;;G
SBASerekWiejski200g* t 1SZT x3,89 3,89C;Serek Wiejski 200g;3,89;C;1;3,89;;G
SBASerekWiejski200g t 1SZT x3,89 3,89C;Serek Wiejski 200g;3,89;C;1;3,89;;G
Puchatek600g H 1SZT x16,99 16,99A;Puchatek 600g;16,99;A;1;16,99;;G
Bułka grahamka 7Og t 8SZT x0,79 6,32C;Bułka grahamka 7Og;0,79;C;8;6,32;;G
KrólowaMąkTortowych t 10SZT x3,59 35,90C;Królowa Mąk Tortowych;3,59;C;10;35,90;;SZT
PrymatMieszDoOgórkówi 14SZT x3,49 48,86B;Prymat Miesz Do Ogórkówi;3,49;B;14;48,86;;SZT
MambaGuma106g H 1SZT x3,59 3,59A;Mamba Guma 106g;3,59;A;1;3,59;;G
FamilijjneWafle180g t 1SZT x3,49 3,49C;Familijjne Wafle 180g;3,49;C;1;3,49;;G
WafleŚmiet180g t 1SZT x3,49 3,49C;Wafle Śmiet 180g;3,49;C;1;3,49;;G
BułkiHambSezam300g 2SZT x6,65 13,30C;Bułki Hamb Sezam 300g;6,65;C;2;13,30;;G
K.ChlebTost.Psz500g t 1SZT x2,99 2,99C;Chleb Tost. Psz 500g;2,99;C;1;2,99;;G
A_L&M FIR.RED 1 x 20,50 20,50A;L&M FIR. RED;20,50;A;1;20,50;;
CALEB PRĄSKI AGATA 1O00DC;CALEB PRĄSKI AGATA 1O00D;0,00;;1;;;
 LEWIATAN DŻEM TRUS/0KR 27OC;LEWIATAN DŻEM TRUS/0KR 27O;0,00;;1;;;
0CZ REKC 0,H85 g  26,99 = 13,09 ;0CZ REKC 0,85kg;26,99;;0,485;13,09;;KG
 C_OLEJ WIELKOP.1L 2 x 10,99 21,98C;OLEJ WIELKOP. 1L;10,99;C;2;21,98;;L
 C_CHLEB TOSTOWY 5006  x 3,09 3,09C;CHLEB TOSTOWY;3,09;C;1;3,09;;
 CJAJA SPOŻ.10M x 10,99 43,96C;CJAJA SPOŻ. 10M;10,99;C;4;43,96;;
AL_DAVIDOFF E. R.10O 20,99 20,99A;AL_DAVID OFF E. R. 10O;20,99;A;1;20,99;;
YanoHammburger2OOg t 3S2T x2,63 7,89C;Yano Hammburger 2OOg;2,63;C;3;7,89;;G
STD pierogi szpinak* t 1S2T x5,10 5,10C;pierogi szpinak;5,10;C;1;5,10;;SZT
STD pierogi szpinak* t 1S2T x5,10 5,10C;pierogi szpinak;5,10;C;1;5,10;;SZT
KLCŚledzneOpiekane t 1SZT x8,99 8,99C;Śledzne Opiekane;8,99;C;1;8,99;;SZT
STD pierogi szpinak* t 1SZT x5,10 5,10C;pierogi szpinak;5,10;C;1;5,10;;SZT
STD pierogi szpinuk* t 1SZT x5,0 5,10C;pierogi szpinuk;5,10;C;1;5,10;;SZT
SokołówSchabSołtysaLuz t;Sokołów Schab Sołtysa Luz;0,00;t;1;0,00;;
SerZ+otyMazurKG t 0,524KG x24,90 13,05C;Ser Zoty Mazur KG;24,90;C;0,524;13,05;;KG
SierpcSerkról t 0,468KG x29,90 13,99C;Sierpc Ser król;29,90;C;0,468;13,99;;KG
ŁopatkawpBezKościt 3,505KG x18,99 66,56C;Łopatkawp Bez Kości;18,99;C;3,505;66,56;;KG
FiletyŚledźMatjas t 0,76KG x15,90 12,08C;Filety Śledź Matjas;15,90;C;0,76;12,08;;KG
Śmiet.Łaciata18%330g t 2SZT x4, 9,98C;Śmiet. Łaciata 18% 330g;4,99;C;2;9,98;;G
ŚmietankaŁowicka36% t 2SZT x10,99 21,98C;Śmietanka Łowicka 36%;10,99;C;2;21,98;;SZT
SerekHomog.150g t 10SZT x3,15 31,50C;Serek Homog. 150g;3,15;C;10;31,50;;G
MlekpolKefir1l t 2SZT x5,99 11,98C;Mlekpol Kefir 1l;5,99;C;2;11,98;;L
SłynneMR Roślinne500 t 6SZT x4,79 28,74C;Słynne MR Roślinne 500;4,79;C;6;28,74;;SZT
Pieczarki 500g t 2SZT x4,99 9,98C;Pieczarki 500g;4,99;C;2;9,98;;G
Bułka poznańska 75g t 8SZT x0,72 5,76C;Bułka poznańska 75g;0,72;C;8;5,76;;G
KucharekŻurek46 t 3SZT x1,99 5,97C;Kucharek Żurek 46;1,99;C;3;5,97;;SZT
KnorrFixSpaghettiBol i 6SZT x4,49 26,94B;Knorr Fix Spaghetti Bol;4,49;B;6;26,94;;SZT
Nutella60Og H 1SZT x19,99 19,99A;Nutella 60Og;19,99;A;1;19,99;;G
HeinzKetchup1000G i 5SZT x11,99 59,95B;Heinz Ketchup 1000G;11,99;B;5;59,95;;G
HeinzKetchup1KG i 1SZT x11,99 11,99B;Heinz Ketchup 1KG;11,99;B;1;11,99;;KG
MajonezDekorac700ML i 5SZT x10,99 54,95B;Majonez Dekorac 700ML;10,99;B;5;54,95;;ML
WlkpOlejRzep2L t 2SZT x10,99 21,98C;Wlkp Olej Rzep 2L;10,99;C;2;21,98;;L
BasiaMąkaTortowaExtr t 4SZT4,39 17,56C;Basia Mąka Tortowa Extr;4,39;C;4;17,56;;SZT
MambaTropicsGuRo106g H 1SZT x3,59 ,59A;Mamba Tropics GuRo 106g;3,59;A;1;3,59;;G
Nimm2Śmiejżelki180g H 1SZT x6,19 6,19A;Nimm2 Śmiejżelki 180g;6,19;A;1;6,19;;G
WafleŚmiet180g t 1SZT x4,49 4,49C;Wafle Śmiet 180g;4,49;C;1;4,49;;G
ArgoLizakiVitaM150g H 1SZT x5,49 5,49A;Argo Lizaki Vitam 150g;5,49;A;1;5,49;;G
K.ChlebTost.Psz500g t 1SZT x2,99 2,99C;Chleb Tost. Psz 500g;2,99;C;1;2,99;;G
7DaysMax Kakao 110g t 2SZT x3,99 7,98C;7Days Max Kakao 110g;3,99;C;2;7,98;;G
BułkiHambSezam300g t 3SZT x,65 19,95C;Bułki Hamb Sezam 300g;6,65;C;3;19,95;;G
MielonkaTyrolska270g t 1SZT x5,89 5,89C;Mielonka Tyrolska 270g;5,89;C;1;5,89;;G
STD FiletŻkurczaka* t 1SzT x5,99 5,99C;STD Filet Z kurczaka;5,99;C;1;5,99;;SZT
STD FiletZkurczaka* t 1SZT x5,99 5,99C;STD Filet Z kurczaka;5,99;C;1;5,99;;SZT
 A_ŁOMA PILS 0,5 L 3 x 3,19 9,57A;ŁOMA PILS 0,5 L;3,19;A;3;9,57;;L
A_WODA NIEGAZO.6-PAK 2 x 5,94 11,889;WODA NIEGAZO. 6-PAK;5,94;;2;11,88;;
C_CHLEBTOSTOWY 500G 1 x 3,09 3,09C;CHLEBTOSTOWY 500G;3,09;C;1;3,09;;G
C_SMIETANA 30% 200G 1 x 3,39 3,39C;SMIETANA 30% 200G;3,39;C;1;3,39;;G
A_TARCZE 3 SZTUKI 1 x 13,30 13,309;TARCZE 3 SZTUKI;13,30;;1;13,30;;
C_S.5OUDA 1 K6 1 x 26,99 26,99C;S. 5OUDA 1 KG;26,99;C;1;26,99;;KG
C_SPODY PIZZA 280 G 1 x 6,29 6,29C;SPODY PIZZA 280 G;6,29;C;1;6,29;;G
FASOLA JAS 500G C 6 x5,59 33,54C;FASOLA JAS 500G;5,59;C;6;33,54;;G
MARGARYNA PAMA 30 C33 ęq 11,07r;MARGARYNA PAMA 30;3,69;C;3;11,07;;
SMItIANA18% 00G C 2 x1,93 3,86C;SMItIANA 18% 100G;1,93;C;2;3,86;;G
KONCENTRAT POM 31C71q 1 3r;KONCENTRAT POM;0,00;C;1;;;
EoRCnątR1 09 X5,49 5,49l;EoRCnątR1;5,49;l;1;5,49;;
BALtRUN C0,062 x31,99 1,98C;BALtRUN;31,99;C;0,062;1,98;;
MIELONKA TYROLSKA C0 310 x31 99 6 r;MIELONKA TYROLSKA;31,99;;0,310;;;
AL_KAWA MOCCA 1 KG 2 x 55,99 11,98A;AL_KAWA MOCCA 1 KG;55,99;A;2;111,98;;KG
C_SURÓWKA/C.KA.300 G 1 x 1,88 ,88C;SURÓWKA C. KA. 300 G;1,88;C;1;1,88;;G
CLE8 BALTONOWSKI SOBALA 850GC 3SZT x9,50 28,50C;CLEB BALTONOWSKI SOBALA 850G;9,50;C;3;28,50;;G
KAPUSTA CZERWONA LUZC 2,435kg x2,95 7,18C;KAPUSTA CZERWONA LUZ;2,95;C;2,435;7,18;;kg
KAPOUSTA CZERWONA LUZC 2,76kg x2,95 8,14C;KAPOUSTA CZERWONA LUZ;2,95;C;2,76;8,14;;kg
KOŁACZYK - DLA CIEBIEC 4szt. x1,60 6,40C;KOŁACZYK - DLA CIEBIE;1,60;C;4;6,40;;szt
1lety SledżWiejskiet 1S2T x16,99 16,99C;ilety Sledż Wiejskie;16,99;C;1;16,99;;SZT
STDKluskiDrożdzowe* t 1S2T x4,49 4,49C;Kluski Drożdzowe;4,49;C;1;4,49;;SZT
SerMorskiKG t 0,664KG x29,90 19,85C;Ser Morski KG;29,90;C;0,664;19,85;;KG
K.Pizza 1kg t 1SZT x11,49 11,49C;Pizza 1kg;11,49;C;1;11,49;;SZT
ŁowickieUHT 3,2%t.1Lt 12SZT x3,99 47,88C;Łowickie UHT 3,2% t. 1L;3,99;C;12;47,88;;L
ActiviaDoPicia270g* t 1SZT x4,69 4,69C;Activia Do Picia 270g;4,69;C;1;4,69;;G
ActiviaDoPicia270g* t 1SZT x4,69 4,69C;Activia Do Picia 270g;4,69;C;1;4,69;;G
K.SerTopionyKrąż140g t 1SZT x4,79 4,79C;Ser Topiony Krąż 140g;4,79;C;1;4,79;;G
K.SerTopionyMix2 t 1SZT x4,79 4,79C;Ser Topiony Mix;4,79;C;1;4,79;;SZT
FantasiaJogurt100g t 4SZT x2,99 11,96C;Fantasia Jogurt 100g;2,99;C;4;11,96;;G
JogurtBrzoskMara350g* t 1SZT x2,99 2,99C;Jogurt Brzosk Mara 350g;2,99;C;1;2,99;;G
JogurtBrzoskMara350g* t 1ST x2,99 2,99C;Jogurt Brzosk Mara 350g;2,99;C;1;2,99;;G
Śmietana18%tł.400g t 2SZT x3,99 7,98C;Śmietana 18% tł. 400g;3,99;C;2;7,98;;G
SerekHomo.Ciaste150g t 2SZT x3,15 6,30C;Serek Homo. Ciaste 150g;3,15;C;2;6,30;;G
JogurtMilkoMore330ml* t 1SZT x3,99 3,99C;Jogurt Milko More 330ml;3,99;C;1;3,99;;ML
JogurtMilkoŻura330ml* t 1SZT x3,99 3,99C;Jogurt Milko Żura 330ml;3,99;C;1;3,99;;ML
MajonezDekorac700ML 1i 2SZT x9,99 19,98B;Majonez Dekorac 700ML;9,99;B;2;19,98;;ML
DegaPaprykarz250g t 1SZT x3,89 3,89C;Dega Paprykarz 250g;3,89;C;1;3,89;;G
Nimm2Żelk1180g H 1SzT x6,99 6,99A;Nimm2 Żelk 1180g;6,99;A;1;6,99;;G
WafleŚmiet180g t 1SZT x4,49 4,49C;Wafle Śmiet 180g;4,49;C;1;4,49;;G
WawelCzekoJagod100g H 2SZT x4,99 9,98A;Wawel Czeko Jagod 100g;4,99;A;2;9,98;;G
ŁopatkaWpBezKościt 1,962KG x18,99 37,26C;Łopatka Wp Bez Kości;18,99;C;1,962;37,26;;KG
0,634KG x24,91 15,79C;"";24,91;C;0,634;15,79;;KG
SchabŚnieżnyKg t 0,576KG x26,94 15,52C;Schab Śnieżny Kg;26,94;C;0,576;15,52;;KG
0,502KG x26,90 13,50C;"";26,90;C;0,502;13,50;;KG
WątrobaZKurczakaLuzt 1,508KG x5,99 9,03C;Wątroba Z Kurczaka Luz;5,99;C;1,508;9,03;;KG
0,662KG x16,99 11,25C;"";16,99;C;0,662;11,25;;KG
GaTbaniMozzarell125g t 2SZT x5,49 10,98C;Gatbani Mozzarell 125g;5,49;C;2;10,98;;G
Śmietana18%400g t 4SZT x3,49 13,96C;Śmietana 18% 400g;3,49;C;4;13,96;;G
ŚmietankaŁowicka36% t 2SZT x10,99 21,98C;Śmietanka Łowicka 36%;10,99;C;2;21,98;;SZT
ŁaciatyProteinNatura* t 1SZT x4,99 4,99C;Łaciaty Protein Natura;4,99;C;1;4,99;;SZT
ŁaciatyProteinNatura* t 1SZT x4,99 4,99C;Łaciaty Protein Natura;4,99;C;1;4,99;;SZT
ŁaciatyProteinNatura* t 1SZT x4,99 4,99C;Łaciaty Protein Natura;4,99;C;1;4,99;;SZT
ŁaciatyProteinNatura* t 1SZT x4,99 4,99C;Łaciaty Protein Natura;4,99;C;1;4,99;;SZT
Krasnystaw Kefir400g* t 1SZT x3,39 3,39C;Krasnystaw Kefir 400g;3,39;C;1;3,39;;G
ValioSerekJagoda175g* t 1SZT x5,59 5,59C;Valio Serek Jagoda 175g;5,59;C;1;5,59;;G
ValioSerekCytryn175g* t 1SZT x5,59 5,59C;Valio Serek Cytryn 175g;5,59;C;1;5,59;;G
STD.TwarógWędz275g t 2SZT x4,49 8,98C;STD. Twaróg Wędz 275g;4,49;C;2;8,98;;G
DanioSerekTrusk 130g t 2SZT x1,79 3,58C;Danio Serek Trusk 130g;1,79;C;2;3,58;;G
DanioSerekCze0Orz130g t 6SZT x1,79 10,74C;Danio Serek Cze Orz 130g;1,79;C;6;10,74;;G
ZielnikPolskiMeli40g t 1SZT x3,99 3,99C;Zielnik Polski Meli 40g;3,99;C;1;3,99;;G
ZielnikPolPokrz30g t 1SZT x3,99 3,99C;Zielnik Pol Pokrz 30g;3,99;C;1;3,99;;G
RodzinnaOwoceLeś200g i 1SZT x6,99 6,99B;Rodzinna Owoce Leś 200g;6,99;B;1;6,99;;G
ZielnikPolskiRumi30g t 1SZT x3,99 3,99C;Zielnik Polski Rumi 30g;3,99;C;1;3,99;;G
Pieczarki 500g t 1SZT x7,99 7,99C;Pieczarki 500g;7,99;C;1;7,99;;G
Cebula żółta kg t 1,714KG x2,49 4,27C;Cebula żółta kg;2,49;C;1,714;4,27;;KG
OlejWielkopolski1l t 3SZT x8,49 25,47C;Olej Wielkopolski 1l;8,49;C;3;25,47;;L
KlopsyWSosie700G t 2SZT x5,99 11,98C;Klopsy W Sosie 700G;5,99;C;2;11,98;;G
Soshamburgerowy410G i 1SZT x6,99 6,99B;Soshamburgerowy 410G;6,99;B;1;6,99;;G
KLC.TortillaPsze370g t 2SZT x4,82 9,64C;Tortilla Psze 370g;4,82;C;2;9,64;;G
SosBarbecue220ML i 2SZT x4,99 9,98B;Sos Barbecue 220ML;4,99;B;2;9,98;;ML
GołąbkiWSosie700G t 1SZT x5,99 5,99C;Gołąbki W Sosie 700G;5,99;C;1;5,99;;G
KamiscynamonMielony i 2SZT x2,19 4,38B;Kamiscynamon Mielony;2,19;B;2;4,38;;SZT
0dkSamOK-V1 H 1S2T x45,00 45,00A;"";45,00;A;1;45,00;;SZT
YanoHamburger2OOg t 2SZT x2,63 5,26C;Yano Hamburger 2OOg;2,63;C;2;5,26;;G
SchabMazurski t 0,45KG x34,90 15,71C;Schab Mazurski;34,90;C;0,45;15,71;;KG
Ryki Gouda KG t 0,292KG x21,90 6,39C;Ryki Gouda KG;21,90;C;0,292;6,39;;KG
Ryki Gouda KG t 0,366KG x21,90 8,02C;Ryki Gouda KG;21,90;C;0,366;8,02;;KG
0,288KG x14,95 4,31C;"";14,95;C;0,288;4,31;;KG
0,236K9 x51,90 12,25C;"";51,90;C;0,236;12,25;;K9
FiletKaczWMarPaprSV*t 1SZT x18,99 18,99C;Filet Kacz W Mar Papr SV;18,99;C;1;18,99;;SZT
K-SMSchabBezKościVact 0,85KG x6,99 5,94C;Schab Bez Kości Vac;6,99;C;0,85;5,94;;KG
KapitańskiePaluszRybt 2SZT x18,99 37,98C;Kapitańskie Palusz Ryb;18,99;C;2;37,98;;SZT
K.Pizza 1kg t 2SZT x11,49 22,98C;Pizza 1kg;11,49;C;2;22,98;;KG
ŚmietankaŁow1cka36% t 2SZT x10,99 21.98C;Śmietanka Łowicka 36%;10,99;C;2;21,98;;SZT
SłynneMRRolinne75Og t 1SZT x9,99 9.99C;Słynne MRRolinne 75Og;9,99;C;1;9,99;;G
MlekpolKef1r1l t 1SZT x5,99 5,99C;Mlekpol Kefiril;5,99;C;1;5,99;;SZT
Bułka poznańska 75g t 8SZT x0,72 5,76C;Bułka poznańska 75g;0,72;C;8;5,76;;G
MajonezDekorac7OOML 1 3SZT x9,99 29.,97B;Majonez Dekorac 7OOML;9,99;B;3;29,97;;ML
DawtonaKoncentrat80a t 1SZT x2,69 2,69C;Dawtona Koncentrat 80;2,69;C;1;2,69;;SZT
KoncePom1do190G t 1SZT x4,99 4,99C;Konce Pomido 190G;4,99;C;1;4,99;;G
